Date,Price
2020-01-26 17:12:36.445963,8596.830078
2020-01-27 17:12:36.445963,8909.819336
2020-01-28 17:12:36.445963,9358.589844
2020-01-29 17:12:36.445963,9316.629883
2020-01-30 17:12:36.445963,9508.993164
2020-01-31 17:12:36.445963,9350.529297
2020-02-01 17:12:36.445963,9392.875
2020-02-02 17:12:36.445963,9344.365234
2020-02-03 17:12:36.445963,9293.521484
2020-02-04 17:12:36.445963,9180.962891
2020-02-05 17:12:36.445963,9613.423828
2020-02-06 17:12:36.445963,9729.801758
2020-02-07 17:12:36.445963,9795.943359
2020-02-08 17:12:36.445963,9865.119141
2020-02-09 17:12:36.445963,10116.67383
2020-02-10 17:12:36.445963,9856.611328
2020-02-11 17:12:36.445963,10208.23633
2020-02-12 17:12:36.445963,10326.05469
2020-02-13 17:12:36.445963,10214.37988
2020-02-14 17:12:36.445963,10312.11621
2020-02-15 17:12:36.445963,9889.424805
2020-02-16 17:12:36.445963,9934.433594
2020-02-17 17:12:36.445963,9690.142578
2020-02-18 17:12:36.445963,10141.99609
2020-02-19 17:12:36.445963,9633.386719
2020-02-20 17:12:36.445963,9608.475586
2020-02-21 17:12:36.445963,9686.441406
2020-02-22 17:12:36.445963,9663.181641
2020-02-23 17:12:36.445963,9924.515625
2020-02-24 17:12:36.445963,9650.174805
2020-02-25 17:12:36.445963,9341.705078
2020-02-26 17:12:36.445963,8820.522461
2020-02-27 17:12:36.445963,8784.494141
2020-02-28 17:12:36.445963,8672.455078
2020-02-29 17:12:36.445963,8599.508789
2020-03-01 17:12:36.445963,8562.454102
2020-03-02 17:12:36.445963,8869.669922
2020-03-03 17:12:36.445963,8787.786133
2020-03-04 17:12:36.445963,8755.246094
2020-03-05 17:12:36.445963,9078.762695
2020-03-06 17:12:36.445963,9122.545898
2020-03-07 17:12:36.445963,8909.954102
2020-03-08 17:12:36.445963,8108.116211
2020-03-09 17:12:36.445963,7923.644531
2020-03-10 17:12:36.445963,7909.729492
2020-03-11 17:12:36.445963,7911.430176
2020-03-12 17:12:36.445963,4970.788086
2020-03-13 17:12:36.445963,5563.707031
2020-03-14 17:12:36.445963,5200.366211
2020-03-15 17:12:36.445963,5392.314941
2020-03-16 17:12:36.445963,5014.47998
2020-03-17 17:12:36.445963,5225.629395
2020-03-18 17:12:36.445963,5238.438477
2020-03-19 17:12:36.445963,6191.192871
2020-03-20 17:12:36.445963,6198.77832
2020-03-21 17:12:36.445963,6185.066406
2020-03-22 17:12:36.445963,5830.254883
2020-03-23 17:12:36.445963,6416.314941
2020-03-24 17:12:36.445963,6734.803711
2020-03-25 17:12:36.445963,6681.062988
2020-03-26 17:12:36.445963,6716.44043
2020-03-27 17:12:36.445963,6469.79834
2020-03-28 17:12:36.445963,6242.193848
2020-03-29 17:12:36.445963,5922.042969
2020-03-30 17:12:36.445963,6429.841797
2020-03-31 17:12:36.445963,6438.644531
2020-04-01 17:12:36.445963,6606.776367
2020-04-02 17:12:36.445963,6793.624512
2020-04-03 17:12:36.445963,6733.387207
2020-04-04 17:12:36.445963,6867.527344
2020-04-05 17:12:36.445963,6791.129395
2020-04-06 17:12:36.445963,7271.78125
2020-04-07 17:12:36.445963,7176.414551
2020-04-08 17:12:36.445963,7334.098633
2020-04-09 17:12:36.445963,7302.089355
2020-04-10 17:12:36.445963,6865.493164
2020-04-11 17:12:36.445963,6859.083008
2020-04-12 17:12:36.445963,6971.091797
2020-04-13 17:12:36.445963,6845.037598
2020-04-14 17:12:36.445963,6842.427734
2020-04-15 17:12:36.445963,6642.109863
2020-04-16 17:12:36.445963,7116.804199
2020-04-17 17:12:36.445963,7096.18457
2020-04-18 17:12:36.445963,7257.665039
2020-04-19 17:12:36.445963,7189.424805
2020-04-20 17:12:36.445963,6881.958496
